date,time,startup,stage,provider,input_tokens,output_tokens,cost
2026-03-09,10:21:27,unknown,block_A,claude,,,0.0000
2026-03-09,10:21:29,unknown,block_A,claude,,,0.0000
2026-03-09,10:21:32,unknown,block_A,claude,,,0.0000
2026-03-09,10:21:34,unknown,block_A,claude,,,0.0000
2026-03-09,10:21:36,unknown,block_A,claude,,,0.0000
2026-03-09,10:26:57,unknown,block_A,claude,,,0.0000
2026-03-09,10:26:59,unknown,block_A,claude,,,0.0000
2026-03-09,10:27:01,unknown,block_A,claude,,,0.0000
2026-03-09,10:27:03,unknown,block_A,claude,,,0.0000
2026-03-09,10:27:05,unknown,block_A,claude,,,0.0000
2026-03-09,10:35:12,unknown,block_A,claude,1527,669,0.0146
2026-03-09,10:35:25,unknown,block_B,claude,1532,806,0.0167
